"","X.1","X","name","address","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","type","latitude","longitude"
"1",1,1,"3D Youth","113 Main Trl","Rockingham","NC",28379,7421,"Gary","Lovin","Owner",9100001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Richmond",2,76000,NA,2016,"113 Main Trl Rockingham NC 28379","","Other",34.898668170645,-79.746152337388
"2",2,2,"4J Youth Enrichment Ctr Inc","504 Northgate Park Dr","Winston Salem","NC",27106,3486,NA,NA,NA,3360001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Forsyth",6,280000,NA,2016,"504 Northgate Park Dr Winston Salem NC 27106","","Center",36.150348947357,-80.269537812526
"3",3,3,"A Better Hope For Youth LLC","7046 Markway Dr","Charlotte","NC",28215,3577,"Robert L","Mckinstry","Manager",7040001111,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Mecklenburg",6,370000,"abetterhopeforyouth.com",2017,"7046 Markway Dr Charlotte NC 28215","https://www.abetterhopeforyouth.com","Other",35.242377361792,-80.736529248035
"4",4,4,"A E Finley YMCA","9216 Baileywick Rd","Raleigh","NC",27615,1907,"Berry","Oliver","Exec Director",9198489622,"Youth Organizations & Centers",624110,713940,624190,624190,813410,"Private","Wake",440,28724000,"ymcatriangle.org",1999,"9216 Baileywick Rd Raleigh NC 27615","https://www.ymcatriangle.org","YMCA",35.907388817477,-78.658610697625
"5",5,5,"A Kind Garden","838 Belmont Dr","Raleigh","NC",27610,3522,NA,NA,NA,9196718125,"Youth Organizations & Centers",624110,NA,NA,NA,NA,"Private","Wake",4,NA,NA,2018,"838 Belmont Dr Raleigh NC 27610","","Other",35.765605852811,-78.603677750152
"6",6,6,"A Touch-Gods Presence Mnstrs","1300 Dickinson Ave","Greenville","NC",27834,3975,NA,NA,NA,2520001111,"Youth Organizations & Centers",624110,813319,813110,999990,NA,"Private","Pitt",5,286000,"atouchofgodspresence.org",2021,"1300 Dickinson Ave Greenville NC 27834","https://www.atouchofgodspresence.org","Faith",35.605483897472,-77.383490723747
"7",7,7,"Achieve Arts Academy Inc","740 Walnut Forest Rd # E","Winston Salem","NC",27103,5654,NA,NA,NA,3360001111,"Youth Organizations & Centers",624110,999990,NA,NA,NA,"Private","Forsyth",2,94000,NA,2021,"740 Walnut Forest Rd # E Winston Salem NC 27103","","Other",36.060200622206,-80.2990628059
"8",8,8,"Adrian L Shuford Jr YMCA","1104 Conover Blvd E","Conover","NC",28613,9373,"Kara","Cloninger","Exec Director",8284646130,"Youth Organizations & Centers",624110,713940,713940,624120,624190,"Private","Catawba",75,4888000,"ymcacv.org",1996,"1104 Conover Blvd E Conover NC 28613","https://www.ymcacv.org","YMCA",35.70267585143,-81.197993941591
"9",9,9,"Adrn 160 LLC","14316 Reese Blvd W # B-804","Huntersville","NC",28078,7959,NA,NA,NA,7040001111,"Youth Organizations & Centers",624110,999990,NA,NA,NA,"Private","Mecklenburg",15,925000,NA,2021,"14316 Reese Blvd W # B-804 Huntersville NC 28078","","Other",35.408611651671,-80.863166469771
"10",10,10,"Alamance County Young Life","1346 S Main St","Burlington","NC",27215,5604,"Jason","Chavara","Director",3365135300,"Youth Organizations & Centers",624110,813319,NA,NA,NA,"Private","Alamance",4,210000,"alamancecounty.younglife.org",2001,"1346 S Main St Burlington NC 27215","https://www.alamancecounty.younglife.org","Young Life",36.085113341666,-79.45195543397
